City,Ward,Quarter,Avg_Temperature
Ahmedabad,21 DARIYAPUR,2018_Qrt4,299.1611328
Ahmedabad,21 DARIYAPUR,2019_Qrt1,295.8471985
Ahmedabad,21 DARIYAPUR,2019_Qrt2,306.9873657
Ahmedabad,21 DARIYAPUR,2019_Qrt3,302.858429
Ahmedabad,21 DARIYAPUR,2019_Qrt4,298.2274475
Ahmedabad,21 DARIYAPUR,2020_Qrt1,295.4802246
Ahmedabad,21 DARIYAPUR,2020_Qrt2,307.9145508
Ahmedabad,21 DARIYAPUR,2020_Qrt3,303.6043396
Ahmedabad,21 DARIYAPUR,2020_Qrt4,305.1236877
Ahmedabad,20 JODHPUR,2011_Qrt1,296.7591858
Ahmedabad,20 JODHPUR,2011_Qrt2,306.9395752
Ahmedabad,20 JODHPUR,2011_Qrt3,303.4744568
Ahmedabad,20 JODHPUR,2011_Qrt4,299.3432007
Ahmedabad,20 JODHPUR,2012_Qrt1,295.2101746
Ahmedabad,20 JODHPUR,2012_Qrt2,306.9692383
Ahmedabad,20 JODHPUR,2012_Qrt3,304.8250122
Ahmedabad,20 JODHPUR,2012_Qrt4,299.8600464
Ahmedabad,20 JODHPUR,2013_Qrt1,296.9039001
Ahmedabad,20 JODHPUR,2013_Qrt2,307.2486267
Ahmedabad,20 JODHPUR,2013_Qrt3,304.8339844
Ahmedabad,20 JODHPUR,2013_Qrt4,299.1888733
Ahmedabad,20 JODHPUR,2014_Qrt1,295.9627991
Ahmedabad,20 JODHPUR,2014_Qrt2,307.0197754
Ahmedabad,20 JODHPUR,2014_Qrt3,304.4663086
Ahmedabad,20 JODHPUR,2014_Qrt4,299.5144043
Ahmedabad,20 JODHPUR,2015_Qrt1,297.0274963
Ahmedabad,20 JODHPUR,2015_Qrt2,307.3901062
Ahmedabad,20 JODHPUR,2015_Qrt3,303.3377686
Ahmedabad,20 JODHPUR,2015_Qrt4,298.2567749
Ahmedabad,20 JODHPUR,2016_Qrt1,297.2307434
Ahmedabad,20 JODHPUR,2016_Qrt2,306.1640015
Ahmedabad,20 JODHPUR,2016_Qrt3,303.5614014
Ahmedabad,20 JODHPUR,2016_Qrt4,300.45401
Ahmedabad,20 JODHPUR,2017_Qrt1,2.97E+02
Ahmedabad,20 JODHPUR,2017_Qrt2,1.10E+35
Ahmedabad,20 JODHPUR,2017_Qrt3,304.2546082
Ahmedabad,20 JODHPUR,2017_Qrt4,299.7617798
Ahmedabad,20 JODHPUR,2018_Qrt1,299.2669373
Ahmedabad,20 JODHPUR,2018_Qrt2,306.9428406
Ahmedabad,20 JODHPUR,2018_Qrt3,304.1782532
Ahmedabad,20 JODHPUR,2018_Qrt4,300.3573303
Ahmedabad,20 JODHPUR,2019_Qrt1,296.6619263
Ahmedabad,20 JODHPUR,2019_Qrt2,306.9873657
Ahmedabad,20 JODHPUR,2019_Qrt3,305.3690186
Ahmedabad,20 JODHPUR,2019_Qrt4,299.7084045
Ahmedabad,20 JODHPUR,2020_Qrt1,296.3780212
Ahmedabad,20 JODHPUR,2020_Qrt2,307.9145508
Ahmedabad,20 JODHPUR,2020_Qrt3,305.7236328
Ahmedabad,20 JODHPUR,2020_Qrt4,305.1236877
Ahmedabad,19 BODAKDEV,2011_Qrt1,296.7591858
Ahmedabad,19 BODAKDEV,2011_Qrt2,306.9395752
Ahmedabad,19 BODAKDEV,2011_Qrt3,303.4744568
Ahmedabad,19 BODAKDEV,2011_Qrt4,299.3432007
Ahmedabad,19 BODAKDEV,2012_Qrt1,295.2101746
Ahmedabad,19 BODAKDEV,2012_Qrt2,306.9692383
Ahmedabad,19 BODAKDEV,2012_Qrt3,304.8250122
Ahmedabad,19 BODAKDEV,2012_Qrt4,299.8600464
Ahmedabad,19 BODAKDEV,2013_Qrt1,296.9039001
Ahmedabad,19 BODAKDEV,2013_Qrt2,307.2486267
Ahmedabad,19 BODAKDEV,2013_Qrt3,304.8339844
Ahmedabad,19 BODAKDEV,2013_Qrt4,299.1888733
Ahmedabad,19 BODAKDEV,2014_Qrt1,295.9627991
Ahmedabad,19 BODAKDEV,2014_Qrt2,307.0197754
Ahmedabad,19 BODAKDEV,2014_Qrt3,304.4663086
Ahmedabad,19 BODAKDEV,2014_Qrt4,299.5144043
Ahmedabad,19 BODAKDEV,2015_Qrt1,297.0274963
Ahmedabad,19 BODAKDEV,2015_Qrt2,307.3901062
Ahmedabad,19 BODAKDEV,2015_Qrt3,303.3377686
Ahmedabad,19 BODAKDEV,2015_Qrt4,298.2567749
Ahmedabad,19 BODAKDEV,2016_Qrt1,297.2307434
Ahmedabad,19 BODAKDEV,2016_Qrt2,306.1640015
Ahmedabad,19 BODAKDEV,2016_Qrt3,303.5614014
Ahmedabad,19 BODAKDEV,2016_Qrt4,300.45401
Ahmedabad,19 BODAKDEV,2017_Qrt1,2.97E+02
Ahmedabad,19 BODAKDEV,2017_Qrt2,1.10E+35
Ahmedabad,19 BODAKDEV,2017_Qrt3,304.2546082
Ahmedabad,19 BODAKDEV,2017_Qrt4,299.7617798
Ahmedabad,19 BODAKDEV,2018_Qrt1,299.2669373
Ahmedabad,19 BODAKDEV,2018_Qrt2,306.9428406
Ahmedabad,19 BODAKDEV,2018_Qrt3,304.1782532
Ahmedabad,19 BODAKDEV,2018_Qrt4,300.3573303
Ahmedabad,19 BODAKDEV,2019_Qrt1,296.6619263
Ahmedabad,19 BODAKDEV,2019_Qrt2,306.9873657
Ahmedabad,19 BODAKDEV,2019_Qrt3,305.3690186
Ahmedabad,19 BODAKDEV,2019_Qrt4,299.7084045
Ahmedabad,19 BODAKDEV,2020_Qrt1,296.3780212
Ahmedabad,19 BODAKDEV,2020_Qrt2,307.9145508
Ahmedabad,19 BODAKDEV,2020_Qrt3,305.7236328
Ahmedabad,19 BODAKDEV,2020_Qrt4,305.1236877
Ahmedabad,18 NAVRANGPURA,2011_Qrt1,295.6786194
Ahmedabad,18 NAVRANGPURA,2011_Qrt2,306.9395752
Ahmedabad,18 NAVRANGPURA,2011_Qrt3,301.5005493
Ahmedabad,18 NAVRANGPURA,2011_Qrt4,298.0796204
Ahmedabad,18 NAVRANGPURA,2012_Qrt1,294.3881836
Ahmedabad,18 NAVRANGPURA,2012_Qrt2,306.9692383
Ahmedabad,18 NAVRANGPURA,2012_Qrt3,302.7627869
Ahmedabad,18 NAVRANGPURA,2012_Qrt4,298.2141418
Ahmedabad,18 NAVRANGPURA,2013_Qrt1,295.8288879
Ahmedabad,18 NAVRANGPURA,2013_Qrt2,307.010437
Ahmedabad,18 NAVRANGPURA,2013_Qrt3,302.9168396
Ahmedabad,18 NAVRANGPURA,2013_Qrt4,297.9972839
Ahmedabad,18 NAVRANGPURA,2014_Qrt1,295.5947266
Ahmedabad,18 NAVRANGPURA,2014_Qrt2,306.9115601
Ahmedabad,18 NAVRANGPURA,2014_Qrt3,302.702179
Ahmedabad,18 NAVRANGPURA,2014_Qrt4,298.2296143
Ahmedabad,18 NAVRANGPURA,2015_Qrt1,296.5313721
Ahmedabad,18 NAVRANGPURA,2015_Qrt2,306.8139954
Ahmedabad,18 NAVRANGPURA,2015_Qrt3,301.1499939
Ahmedabad,18 NAVRANGPURA,2015_Qrt4,297.2733459
Ahmedabad,18 NAVRANGPURA,2016_Qrt1,296.5793762
Ahmedabad,18 NAVRANGPURA,2016_Qrt2,305.7733459
Ahmedabad,18 NAVRANGPURA,2016_Qrt3,301.6950989
Ahmedabad,18 NAVRANGPURA,2016_Qrt4,299.5108948
Ahmedabad,18 NAVRANGPURA,2017_Qrt1,2.96E+02
Ahmedabad,18 NAVRANGPURA,2017_Qrt2,1.10E+35
Ahmedabad,18 NAVRANGPURA,2017_Qrt3,301.8991699
Ahmedabad,18 NAVRANGPURA,2017_Qrt4,299.0215454
Ahmedabad,18 NAVRANGPURA,2018_Qrt1,298.8327637
Ahmedabad,18 NAVRANGPURA,2018_Qrt2,306.7859802
Ahmedabad,18 NAVRANGPURA,2018_Qrt3,302.3450928
Ahmedabad,18 NAVRANGPURA,2018_Qrt4,299.1611328
Ahmedabad,18 NAVRANGPURA,2019_Qrt1,295.8471985
Ahmedabad,18 NAVRANGPURA,2019_Qrt2,306.9873657
Ahmedabad,18 NAVRANGPURA,2019_Qrt3,302.858429
Ahmedabad,18 NAVRANGPURA,2019_Qrt4,298.2274475
Ahmedabad,18 NAVRANGPURA,2020_Qrt1,295.4802246
Ahmedabad,18 NAVRANGPURA,2020_Qrt2,307.9145508
Ahmedabad,18 NAVRANGPURA,2020_Qrt3,303.6043396
Ahmedabad,18 NAVRANGPURA,2020_Qrt4,305.1236877
Ahmedabad,17 SHAHPUR,2011_Qrt1,295.6786194
Ahmedabad,17 SHAHPUR,2011_Qrt2,306.9395752
Ahmedabad,17 SHAHPUR,2011_Qrt3,301.5005493
Ahmedabad,17 SHAHPUR,2011_Qrt4,298.0796204
Ahmedabad,17 SHAHPUR,2012_Qrt1,294.3881836
Ahmedabad,17 SHAHPUR,2012_Qrt2,306.9692383
Ahmedabad,17 SHAHPUR,2012_Qrt3,302.7627869
Ahmedabad,17 SHAHPUR,2012_Qrt4,298.2141418
Ahmedabad,17 SHAHPUR,2013_Qrt1,295.8288879
Ahmedabad,17 SHAHPUR,2013_Qrt2,307.010437
Ahmedabad,17 SHAHPUR,2013_Qrt3,302.9168396
Ahmedabad,17 SHAHPUR,2013_Qrt4,297.9972839
Ahmedabad,17 SHAHPUR,2014_Qrt1,295.5947266
Ahmedabad,17 SHAHPUR,2014_Qrt2,306.9115601
Ahmedabad,17 SHAHPUR,2014_Qrt3,302.702179
Ahmedabad,17 SHAHPUR,2014_Qrt4,298.2296143
Ahmedabad,17 SHAHPUR,2015_Qrt1,296.5313721
Ahmedabad,17 SHAHPUR,2015_Qrt2,306.8139954
Ahmedabad,17 SHAHPUR,2015_Qrt3,301.1499939
Ahmedabad,17 SHAHPUR,2015_Qrt4,297.2733459
Ahmedabad,17 SHAHPUR,2016_Qrt1,296.5793762
Ahmedabad,17 SHAHPUR,2016_Qrt2,305.7733459
Ahmedabad,17 SHAHPUR,2016_Qrt3,301.6950989
Ahmedabad,17 SHAHPUR,2016_Qrt4,299.5108948
Ahmedabad,17 SHAHPUR,2017_Qrt1,2.96E+02
Ahmedabad,17 SHAHPUR,2017_Qrt2,1.10E+35
Ahmedabad,17 SHAHPUR,2017_Qrt3,301.8991699
Ahmedabad,17 SHAHPUR,2017_Qrt4,299.0215454
Ahmedabad,17 SHAHPUR,2018_Qrt1,298.8327637
Ahmedabad,17 SHAHPUR,2018_Qrt2,306.7859802
Ahmedabad,17 SHAHPUR,2018_Qrt3,302.3450928
Ahmedabad,17 SHAHPUR,2018_Qrt4,299.1611328
Ahmedabad,17 SHAHPUR,2019_Qrt1,295.8471985
Ahmedabad,17 SHAHPUR,2019_Qrt2,306.9873657
Ahmedabad,17 SHAHPUR,2019_Qrt3,302.858429
Ahmedabad,17 SHAHPUR,2019_Qrt4,298.2274475
Ahmedabad,17 SHAHPUR,2020_Qrt1,295.4802246
Ahmedabad,17 SHAHPUR,2020_Qrt2,307.9145508
Ahmedabad,17 SHAHPUR,2020_Qrt3,303.6043396
Ahmedabad,17 SHAHPUR,2020_Qrt4,305.1236877
Ahmedabad,16 SHAHIBAG,2011_Qrt1,295.6786194
Ahmedabad,16 SHAHIBAG,2011_Qrt2,306.9395752
Ahmedabad,16 SHAHIBAG,2011_Qrt3,301.5005493
Ahmedabad,16 SHAHIBAG,2011_Qrt4,298.0796204
